"","mean_expression.gene","mean_expression.epoch","mean_expression.mean_expression"
"Pmm1","Pmm1","epoch1",0.82458828779045
"Cenpm","Cenpm","epoch1",0.401725822459282
"Naga","Naga","epoch1",-0.0978810593561473
"A4galt","A4galt","epoch1",0.111213594977626
"Scube1","Scube1","epoch1",-0.16084791080752
"Plxnb2","Plxnb2","epoch1",-0.225240374806569
"Kif21a","Kif21a","epoch1",-0.1877116277769
"Yaf2","Yaf2","epoch1",-0.631171045399408
"Prickle1","Prickle1","epoch1",-0.213490682632809
"Slc38a4","Slc38a4","epoch1",0.19940308139965
"Col2a1","Col2a1","epoch1",-0.53714176361936
"Adcy6","Adcy6","epoch1",-0.097876955485586
"Lima1","Lima1","epoch1",0.269355077200172
"Smagp","Smagp","epoch1",0.33057147968616
"Fignl2","Fignl2","epoch1",-0.445297661261056
"Itga5","Itga5","epoch1",-0.143980712379296
"Ppp1r1a","Ppp1r1a","epoch1",-0.131381597294564
"Oxct1","Oxct1","epoch1",0.199954105655753
"Myo10","Myo10","epoch1",0.521444840747172
"Laptm4b","Laptm4b","epoch1",-0.359015848771563
"Aard","Aard","epoch1",0.37361106064719
"Col14a1","Col14a1","epoch1",-0.147400513291359
"Ptp4a3","Ptp4a3","epoch1",0.113375253705922
"Zfp41","Zfp41","epoch1",-0.303505407901585
"Grina","Grina","epoch1",-0.401151834722953
"Lgals1","Lgals1","epoch1",-0.0998428839797788
"H1f0","H1f0","epoch1",-0.325424562419911
"Syngr1","Syngr1","epoch1",0.250104568558296
"1700029P11Rik","1700029P11Rik","epoch1",0.50644448626465
"Sept3","Sept3","epoch1",-0.276384906569108
"Pim3","Pim3","epoch1",0.261166362949649
"Pdzrn4","Pdzrn4","epoch1",0.303904520981203
"Tuba1c","Tuba1c","epoch1",0.459872753790764
"Acvr1b","Acvr1b","epoch1",-0.0587260387270584
"Grasp","Grasp","epoch1",-0.0064453379000504
"Krt7","Krt7","epoch1",-0.126401991257208
"Hoxc13","Hoxc13","epoch1",-0.0429239792720921
"Hoxc10","Hoxc10","epoch1",-0.151566550135612
"Hoxc9","Hoxc9","epoch1",-0.219521179795265
"Hoxc4","Hoxc4","epoch1",-0.351309205296681
"Ranbp1","Ranbp1","epoch1",0.0530553117325307
"2510009E07Rik","2510009E07Rik","epoch1",-0.128820472940576
"Liph","Liph","epoch1",0.225542750757963
"Igf2bp2","Igf2bp2","epoch1",-0.443217910103486
"Etv5","Etv5","epoch1",0.493524010203363
"P3h2","P3h2","epoch1",-0.185663883153557
"Apod","Apod","epoch1",0.168810632363491
"Fam162a","Fam162a","epoch1",-0.272391542753318
"Pla1a","Pla1a","epoch1",0.21277887793967
"Boc","Boc","epoch1",-0.314498072726472
"Dzip3","Dzip3","epoch1",-0.307521625200338
"Bbx","Bbx","epoch1",-0.15927188435385
"Robo2","Robo2","epoch1",-0.183043092489243
"Nrip1","Nrip1","epoch1",-0.384736011506514
"App","App","epoch1",-0.342776258868463
"2310043M15Rik","2310043M15Rik","epoch1",0.29720778165735
"Rpl39l","Rpl39l","epoch1",0.33106144120548
"Snn","Snn","epoch1",-0.440676599083856
"Cebpd","Cebpd","epoch1",0.243181199969979
"Cldn5","Cldn5","epoch1",0.297584275908882
"Lpp","Lpp","epoch1",-0.325763835822265
"Ccdc50","Ccdc50","epoch1",-0.370562388106642
"Hes1","Hes1","epoch1",-0.322695492519784
"Heg1","Heg1","epoch1",-0.135031257108383
"Hspbap1","Hspbap1","epoch1",0.572806710384427
"Fstl1","Fstl1","epoch1",-0.454836675621567
"Dppa4","Dppa4","epoch1",0.891443548005471
"Dppa2","Dppa2","epoch1",0.926859149908786
"Morc1","Morc1","epoch1",0.674924853446345
"Cd47","Cd47","epoch1",-0.383780593466165
"Senp7","Senp7","epoch1",-0.258761397926941
"Pros1","Pros1","epoch1",-0.176263440759654
"Robo1","Robo1","epoch1",-0.103583737905255
"Jam2","Jam2","epoch1",0.239082102394346
"Il10rb","Il10rb","epoch1",-0.103302912966249
"Cbr3","Cbr3","epoch1",0.721771181549825
"Ttc3","Ttc3","epoch1",-0.671759527758104
"Ezr","Ezr","epoch1",0.295934118838928
"Qk","Qk","epoch1",-0.440094237318641
"Igf2r","Igf2r","epoch1",-0.210630905214073
"Acat2","Acat2","epoch1",-0.281687308816703
"Dll1","Dll1","epoch1",-0.231411131278512
"Tnfrsf12a","Tnfrsf12a","epoch1",-0.000540476311281853
"Ccnf","Ccnf","epoch1",0.319291388728836
"Metrn","Metrn","epoch1",-0.339630938180442
"Wfikkn1","Wfikkn1","epoch1",-0.291381282779166
"Dusp1","Dusp1","epoch1",0.326560125037375
"1700097N02Rik","1700097N02Rik","epoch1",0.716381942991021
"Hsf2bp","Hsf2bp","epoch1",0.664221158411902
"Zfp811","Zfp811","epoch1",-0.183219973508477
"Tubb5","Tubb5","epoch1",-0.393985446152185
"H2-M5","H2-M5","epoch1",0.364742446974449
"Slc29a1","Slc29a1","epoch1",0.554324064543234
"Mymx","Mymx","epoch1",0.510760738159799
"Vegfa","Vegfa","epoch1",-0.213042544380662
"Ptk7","Ptk7","epoch1",-0.17469286024665
"Foxp4","Foxp4","epoch1",-0.237898553505322
"Rftn1","Rftn1","epoch1",-0.254291096390201
"Dazl","Dazl","epoch1",0.342529768417329
"Plin3","Plin3","epoch1",0.0944175846026123
"Rfx2","Rfx2","epoch1",0.100699997492853
"Efna5","Efna5","epoch1",-0.357239253176045
"Tgif1","Tgif1","epoch1",0.336364292192774
"Cdc42ep3","Cdc42ep3","epoch1",0.229024555855596
"Hcfc1r1","Hcfc1r1","epoch1",-0.0182999499454778
"Cldn6","Cldn6","epoch1",0.129732572823423
"Crebrf","Crebrf","epoch1",0.113168346397768
